"Species","specialization_NHD","specialization_FAG","Class","Order","Family","Habitats_IUCN","specialization"
"Acanthis flammea","human_dominated","forest","Aves","Passeriformes","Fringillidae","Artificial/Terrestrial - Plantations [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Forest - Boreal [Suitable]; Forest - Temperate [Suitable]; Forest - Boreal [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Shrubland - Temperate [Suitable]; Shrubland - Temperate [Suitable]","human_dominated"
"Accipiter brevipes","human_dominated","forest","Aves","Accipitriformes","Accipitridae","Artificial/Terrestrial - Plantations [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Forest - Temperate [Suitable]","human_dominated"
"Accipiter gentilis","human_dominated","forest","Aves","Accipitriformes","Accipitridae","Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Forest - Temperate [Suitable]","human_dominated"
"Accipiter nisus","human_dominated","generalist","Aves","Accipitriformes","Accipitridae","Artificial/Terrestrial - Rural Gardens [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Forest - Temperate [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Shrubland - Boreal [Suitable]; Shrubland - Temperate [Suitable]; Shrubland - Temperate [Suitable]","human_dominated"
"Acridotheres cristatellus","human_dominated","agriculture","Aves","Passeriformes","Sturnidae","Grassland - Subtropical/Tropical Seasonally Wet/Flooded [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]","human_dominated"
"Acridotheres tristis","human_dominated","generalist","Aves","Passeriformes","Sturnidae","Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level [Suitable]; Grassland - Subtropical/Tropical Seasonally Wet/Flooded [Suitable]; Grassland - Subtropical/Tropical Dry [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]","human_dominated"
"Acrocephalus agricola","natural","generalist","Aves","Passeriformes","Acrocephalidae","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]","natural"
"Acrocephalus arundinaceus","natural","generalist","Aves","Passeriformes","Acrocephalidae","Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]","natural"
"Acrocephalus dumetorum","human_dominated","forest","Aves","Passeriformes","Acrocephalidae","Forest - Temperate [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Shrubland - Temperate [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]","human_dominated"
"Acrocephalus melanopogon","natural","generalist","Aves","Passeriformes","Acrocephalidae","Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools [Suitable]","natural"
"Acrocephalus paludicola","human_dominated","agriculture","Aves","Passeriformes","Acrocephalidae","Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]","human_dominated"
"Acrocephalus palustris","human_dominated","forest","Aves","Passeriformes","Acrocephalidae","Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level [Suitable]; Shrubland - Temperate [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Grassland - Temperate [Suitable]; Forest - Temperate [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Shrubland - Subtropical/Tropical Moist [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Grassland - Subtropical/Tropical Seasonally Wet/Flooded [Suitable]; Shrubland - Subtropical/Tropical Dry [Suitable]","human_dominated"
"Acrocephalus schoenobaenus","human_dominated","agriculture","Aves","Passeriformes","Acrocephalidae","Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]","human_dominated"
"Acrocephalus scirpaceus","natural","generalist","Aves","Passeriformes","Acrocephalidae","Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Shrubland - Subtropical/Tropical Moist [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Savanna - Dry [Suitable]; Grassland - Subtropical/Tropical Seasonally Wet/Flooded [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]","natural"
"Actitis hypoleucos","human_dominated","generalist","Aves","Charadriiformes","Scolopacidae","Marine Neritic - Estuaries [Suitable]; Artificial/Aquatic - Canals and Drainage Channels, Ditches [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]; Artificial/Aquatic - Ponds (below 8ha) [Suitable]; Grassland - Temperate [Suitable]; Marine Neritic - Estuaries [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Artificial/Aquatic - Ponds (below 8ha) [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Artificial/Aquatic - Wastewater Treatment Areas [Suitable]; Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches [Suitable]","human_dominated"
